vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
944,9360,9360,0.000997
945,9371,9371,0
946,9382,9382,0
947,9393,9393,0
948,9404,9404,0.000997
949,9415,9415,0
950,9426,9426,0
951,9437,9437,0
952,9448,9448,0.000998
953,9459,9459,0
954,9470,9470,0
955,9481,9481,0
956,9492,9492,0.000997
957,9503,9503,0
958,9514,9514,0
959,9525,9525,0
960,9536,9536,0.000997
961,9547,9547,0
962,9558,9558,0
963,9569,9569,0
964,9580,9580,0.000998
965,9591,9591,0
966,9602,9602,0
967,9613,9613,0
968,9624,9624,0.000997
969,9635,9635,0
970,9646,9646,0
971,9657,9657,0
972,9668,9668,0.000997
973,9679,9679,0
974,9690,9690,0
975,9701,9701,0
976,9712,9712,0.000998
977,9723,9723,0
978,9734,9734,0
979,9745,9745,0
980,9756,9756,0.000997
981,9767,9767,0
982,9778,9778,0
983,9789,9789,0
984,9800,9800,0.000997
985,9811,9811,0
986,9822,9822,0
987,9833,9833,0
988,9844,9844,0.000998
989,9855,9855,0
990,9866,9866,0
991,9877,9877,0
992,9888,9888,0
993,9899,9899,0
994,9910,9910,0
995,9921,9921,0.000997
996,9932,9932,0
997,9943,9943,0
998,9954,9954,0
999,9965,9965,0.000998
1000,9976,9976,0.000383
1001,9987,9987,0
1002,9998,9998,0.000613
1003,10009,10009,0
1004,10020,10020,0
1005,10031,10031,0
1006,10042,10042,0.000998
1007,10053,10053,0
1008,10064,10064,0
1009,10075,10075,0
1010,10086,10086,0.000997
1011,10097,10097,0
1012,10108,10108,0
1013,10119,10119,0
1014,10130,10130,0.000997
1015,10141,10141,0
1016,10152,10152,0
1017,10163,10163,0
1018,10174,10174,0
1019,10185,10185,0
1020,10196,10196,0
1021,10207,10207,0.000997
1022,10218,10218,0
1023,10229,10229,0
1024,10240,10240,0
1025,10252,10252,0.000997
1026,10264,10264,0
1027,10276,10276,0
1028,10288,10288,0
1029,10300,10300,0
1030,10312,10312,0
1031,10324,10324,0
1032,10336,10336,0.000997
1033,10348,10348,0
1034,10360,10360,0
1035,10372,10372,0
1036,10384,10384,0.001002
1037,10396,10396,0
1038,10408,10408,0
1039,10420,10420,0
1040,10432,10432,0.000121
1041,10444,10444,0
1042,10456,10456,0
1043,10468,10468,0.00088
1044,10480,10480,0
1045,10492,10492,0
1046,10504,10504,0
1047,10516,10516,0.000993
1048,10528,10528,0
1049,10540,10540,0
1050,10552,10552,0.000998
1051,10564,10564,0
1052,10576,10576,0
1053,10588,10588,0
1054,10600,10600,0.000997
1055,10612,10612,0
1056,10624,10624,0
1057,10636,10636,0
1058,10648,10648,0.000997
1059,10660,10660,0
1060,10672,10672,0
1061,10684,10684,0.000998
1062,10696,10696,0
1063,10708,10708,0
1064,10720,10720,0
1065,10732,10732,0.000997
1066,10744,10744,0
1067,10756,10756,0
1068,10768,10768,0.000997
1069,10780,10780,0
1070,10792,10792,0
1071,10804,10804,0
1072,10816,10816,0.000998
1073,10828,10828,0
1074,10840,10840,0
1075,10852,10852,0.000997
1076,10864,10864,0
1077,10876,10876,0
1078,10888,10888,0
1079,10900,10900,0.000997
1080,10912,10912,0
1081,10924,10924,0
1082,10936,10936,0
1083,10948,10948,0
1084,10960,10960,0
1085,10972,10972,0
1086,10984,10984,0.000998
1087,10996,10996,0
1088,11008,11008,0
1089,11020,11020,0.000997
1090,11032,11032,0
1091,11044,11044,0
1092,11056,11056,0
1093,11068,11068,0.000997
1094,11080,11080,0
1095,11092,11092,0
1096,11104,11104,0.000998
1097,11116,11116,0
1098,11128,11128,0
1099,11140,11140,0
1100,11152,11152,0.000997
1101,11164,11164,0
1102,11176,11176,0
1103,11188,11188,0.000998
1104,11200,11200,0
1105,11212,11212,0
1106,11224,11224,0
1107,11236,11236,0
1108,11248,11248,0
1109,11260,11260,0
1110,11272,11272,0.000997
1111,11284,11284,0
1112,11296,11296,0
1113,11308,11308,0.000998
1114,11320,11320,0
1115,11332,11332,0
1116,11344,11344,0
1117,11356,11356,0.000997
1118,11368,11368,0
1119,11380,11380,0
1120,11392,11392,0.000997
1121,11404,11404,0
1122,11416,11416,0
1123,11428,11428,0
1124,11440,11440,0
1125,11452,11452,0
1126,11464,11464,0
1127,11476,11476,0.000997
1128,11488,11488,0
1129,11500,11500,0
1130,11512,11512,0.000997
1131,11524,11524,0
1132,11536,11536,0
1133,11548,11548,0
1134,11560,11560,0
1135,11572,11572,0
1136,11584,11584,0
1137,11596,11596,0.000997
1138,11608,11608,0
1139,11620,11620,0
1140,11632,11632,0.000997
1141,11644,11644,0
1142,11656,11656,0
1143,11668,11668,0
1144,11680,11680,0
1145,11692,11692,0
1146,11704,11704,0
1147,11716,11716,0.000998
1148,11728,11728,0
1149,11740,11740,0
1150,11752,11752,0.000997
1151,11764,11764,0
1152,11776,11776,0
1153,11788,11788,0.000998
1154,11800,11800,0
1155,11812,11812,0
1156,11824,11824,0
1157,11836,11836,0
1158,11848,11848,0
1159,11860,11860,0
1160,11872,11872,0.000997
1161,11884,11884,0
1162,11896,11896,0
1163,11908,11908,0.000998
1164,11920,11920,0
1165,11932,11932,0
1166,11944,11944,0.000997
